agency_name;route_short_name;route_long_name;Type;bus_type;route_id;<-- REMARK;col_7;REMARK -->;route_short_name_1;route_long_name_1;route_id_1
GVB;265;Muiderpoortstation - Amstelstation;;;67175;spitsbus;;;;;
Connexxion;271;Amsterdam Gaasperplas - Aalsmeer Floraholland;;;67264;spitsbus;;;;;
Connexxion;287;Schiphol Airport - Douglassingel via Beechavenue;;;63677;spitsbus;;;;;
Connexxion;300;Haarlem Station - A'dam Bijlmer ArenA via Airport;Streekbus;1;63638;;;;300;Haarlem - Vijfhuizen - Hoofddorp - Schiphol - Amstelveen Oranjebaan - Ouderkerk aan de Amstel - Amsterdam Zuidoost;62525
EBS;301;van Amsterdam Noord naar Purmerend/ Edam;Streekbus;1;60889;;;;301;Amsterdam Buiksloterwegveer - Amsterdam Noord - Ilpendam - Purmerend - Edam;60889
EBS;304;van Amsterdam Noord naar Purmerend;Streekbus;1;60885;;;;304;Amsterdam Noord - Ilpendam - Purmerend De Gors - Purmerend Purmer;60885
EBS;305;van Amsterdam CS naar De Rijp;Streekbus;1;60886;;;;305;Amsterdam CS - Ilpendam - Purmerend - Middenbeemster - De Rijp;60886
EBS;306;van Amsterdam CS naar Purmerend;Streekbus;1;60887;;;;306;Amsterdam CS - Ilpendam - Purmerend Wheermolen - Purmerend M.L. Kingweg;60887
EBS;307;Van Amsterdam Noord naar Purmerend;Streekbus;1;60888;;;;307;Amsterdam Noord - Ilpendam - Purmerend Purmer - Purmerend Baanstee;60888
EBS;308;van Amsterdam Noord naar Purmerend;Streekbus;1;60891;;;;308;Amsterdam Noord - Ilpendam - Purmerend Weidevenne;60891
EBS;309;van Amsterdam Sloterdijk naar Purmerend;Streekbus;1;62475;;;;309;Amsterdam Sloterdijk - Ilpendam - Purmerend Purmer;62475
EBS;312;van Amsterdam Noord naar Edam-Volendam;Streekbus;1;60895;;;;312;Amsterdam Noord - Broek in Waterland - Volendam - Edam;60895
EBS;314;van Amsterdam CS naar Hoorn;Streekbus;1;409;;;;314;Amsterdam CS - Broek in Waterland - Edam - Scharwoude - Hoorn;409
